artist,identifier,fans,rmse16,rmse32,rmse64
Divided Skyline,ca3e2ec56ea445f0b139ba137532186f,10,0.450613,0.455817,0.459630
Dying Desolation,a6bb04a82bedb637874eec63901574c7,46,0.440582,0.445997,0.458236
Electric Callboy,c043f010f24c5c9c2c4fabd49f2e9479,152748,0.401414,0.410749,0.417223
Emmure,4432e704e7b57f8400f1d5fca9363aec,53837,0.339611,0.351612,0.358509
Evergloam,73a5e4bc5bb3f0ca6f9e6ab4323194da,48,0.580241,0.586994,0.593086
Face Yourself,21040b93a0ce21d9dced643fd4351ded,2013,0.783096,0.784780,0.786083
Falling in Reverse,0d156d38a772589703669d9e5c2ac747,525703,0.736907,0.740656,0.743064
Fame on Fire,eb1d065f40ddd8e32086bd54a60ad27a,12714,0.654235,0.659026,0.661949
Far'n'Hate,1160989bc6a724bbd7fa747ff80f61e0,188,0.501742,0.506278,0.509245
Fight The Fade,85e707332d85c073fe809746273edce1,2268,0.651887,0.653059,0.653877
From Ashes to New,f22bca7c96b2ca684cb354c68923dc14,68096,0.574624,0.578992,0.581504
From Fall to Spring,d41d8cd98f00b204e9800998ecf8427e,5,0.000000,0.000000,0.000000
From Fall to Spring,47aa019f64f04cf128a1a4441fb142cd,18,0.608530,0.612956,0.615526
From Fall to Spring,f8d31120d99c7f7ae63a659182337d52,4799,0.754569,0.755669,0.756177
Future Palace,e2ed493ffea04bed3ee7bc929a270655,5921,0.495178,0.504496,0.512134
GOUGE DE,1cc2ff83c66e8301869cb4553193de65,11,0.346341,0.357420,0.365932
Galleons,3cf66318bba3ba36f311fe31ee2ee148,988,0.561747,0.565885,0.569042
GhostSeeker,84f45cbd97dddd88870b37592e5f65ba,105,0.594702,0.599264,0.602918
Glass Crown,a52de05bb95a74c4bc68e8408a7be674,206,0.615696,0.618601,0.620652
Gone Cold,fe30dc2d93c3ff74469b20951a427e40,200,0.807091,0.811553,0.814527
Her Last Sight,92cc6a0152663d217da4937ad88155d2,5458,0.161113,0.166395,0.170039
Hidden Figures,2d092a28a0809472a30b8c7bc29fd367,51,0.649173,0.651672,0.653646
Hopsydian,f4a079f08198951137e4892bee139b70,370,0.543653,0.551995,0.555874
Humanity's Last Breath,72d3e8ba4a43961f10fb0b7022ede88a,9623,0.431814,0.438987,0.446065
I Am Mook,66eed486f041d47e35697dd0ad9c9cba,122,0.595873,0.601965,0.606713
I Capture Castle,c12eabc8c1b76774ba2f252ad1488f88,69,0.629673,0.636471,0.640641
If I Were You,88dcd92c590397b0d959c9fe3a6350dd,3023,0.693166,0.694808,0.695482
If Not for Me,b63e5b70efcaf79cf6228dffe4dd3ca1,2290,0.673470,0.676277,0.679687
Immortal Disfigurement,c89655af274e03fa371b46cede5aeb83,2973,0.578361,0.585408,0.589058
In Dying Arms,820a1fb05b78ef135b513ebf4ff8549e,4080,0.671570,0.673605,0.675605
In Flames,9ab3889d744f9b3849558509c39d72e9,288323,0.691317,0.691292,0.691328
In Gloom,5044539004ecb49ac4aa32a62ed3dd86,490,0.475656,0.483847,0.491184
In Your Grave,790f849972c0966b9494944b5ef513f6,58,0.000425,0.000173,0.000330
Isotopes,d65bd7f0daf8779e4b0bd9f0fc24433d,383,0.690734,0.690837,0.691108
Killswitch Engage,8800181c3030f494ab13ae43a9699b5f,348943,0.511843,0.522277,0.529456
King Conquer,bb9516889a37084aa0b3966673ad8d1c,3958,0.498657,0.508410,0.518115
LOVED AGAIN,99efeba4756718f7dd7396e8e6993375,0,0.669708,0.672939,0.674976
LYKA,e76772fef09b11663babe47534653bcb,16,0.587206,0.589614,0.591034
